id;actual_stock;reorder_point;max_stock;section;level;rack;store;article
1;40873;43417;67982;CSS innovate;Cambridgeshire Colegio;Puerto Card Ladrillo;1;1
2;31235;72760;18949;Bedfordshire Azul;Nacional synthesizing connect;Práctico withdrawal
3;86720;35847;58869;plug-and-play wireless;withdrawal Galicia;solutions
4;82136;29891;84591;Interacciones;Interno Programa Colombian;Aragón Joyería invoice
5;86100;36483;52558;Arquitecto Buckinghamshire;COM;Salud Implementación payment
6;38718;23195;81428;interface Queso invoice;1080p Cuesta Auto;Factores
7;21040;22166;29949;transmitting;e-business Coche;Analista Uruguay
8;66740;26448;37363;ábanico Sopa Ferrocarril;Silla Raton Card;Blanco scale
9;55452;63542;167;Analista;bypassing Visionario;quantifying Cambridgeshire marco
10;93456;19885;90401;Cambridgeshire;bandwidth;Marketing
11;40873;43417;67982;CSS innovate;Cambridgeshire Colegio;Puerto Card Ladrillo
12;31235;72760;18949;Bedfordshire Azul;Nacional synthesizing connect;Práctico withdrawal
13;86720;35847;58869;plug-and-play wireless;withdrawal Galicia;solutions
14;82136;29891;84591;Interacciones;Interno Programa Colombian;Aragón Joyería invoice
15;86100;36483;52558;Arquitecto Buckinghamshire;COM;Salud Implementación payment
16;38718;23195;81428;interface Queso invoice;1080p Cuesta Auto;Factores
17;21040;22166;29949;transmitting;e-business Coche;Analista Uruguay
18;66740;26448;37363;ábanico Sopa Ferrocarril;Silla Raton Card;Blanco scale
19;55452;63542;167;Analista;bypassing Visionario;quantifying Cambridgeshire marco
20;93456;19885;90401;Cambridgeshire;bandwidth;Marketing
21;40873;43417;67982;CSS innovate;Cambridgeshire Colegio;Puerto Card Ladrillo
22;31235;72760;18949;Bedfordshire Azul;Nacional synthesizing connect;Práctico withdrawal
23;86720;35847;58869;plug-and-play wireless;withdrawal Galicia;solutions
24;82136;29891;84591;Interacciones;Interno Programa Colombian;Aragón Joyería invoice
25;86100;36483;52558;Arquitecto Buckinghamshire;COM;Salud Implementación payment
26;38718;23195;81428;interface Queso invoice;1080p Cuesta Auto;Factores
27;21040;22166;29949;transmitting;e-business Coche;Analista Uruguay
28;66740;26448;37363;ábanico Sopa Ferrocarril;Silla Raton Card;Blanco scale
29;55452;63542;167;Analista;bypassing Visionario;quantifying Cambridgeshire marco
30;93456;19885;90401;Cambridgeshire;bandwidth;Marketing
